timestamp,project_id,strategy,weights,response_time_ms,relevant_count,precision_at_5,precision_at_10,recall_at_10,mrr,average_recommendation_score
1782553121.1690662,CLIENT_101_005,hybrid_v1,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,169079.46,0,0.0,0.0,0.0,0.0,59.0
1782553171.8661335,CLIENT_101_005,hybrid_v1,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,196545.96,0,0.0,0.0,0.0,0.0,59.0
1782553246.1190457,CLIENT_101_005,hybrid_v1,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,67030.99,0,0.0,0.0,0.0,0.0,59.0
1782553289.6967235,CLIENT_101_005,hybrid_v1,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,12974.92,0,0.0,0.0,0.0,0.0,59.0
1782553294.496343,CLIENT_101_005,semantic_only,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,4478.18,0,0.0,0.0,0.0,0.0,0.0
1782553300.3506625,CLIENT_101_005,historical_only,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,5588.41,0,0.0,0.0,0.0,0.0,50.0
1782553305.753466,CLIENT_101_005,availability_only,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,5130.5,0,0.0,0.0,0.0,0.0,100.0
1782553311.375122,CLIENT_101_005,competency_only,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,5370.94,0,0.0,0.0,0.0,0.0,80.0
1782553323.2532964,CLIENT_101_005,hybrid_v1,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,11508.06,0,0.0,0.0,0.0,0.0,59.0
1782553335.378417,CLIENT_101_005,rule_based_v1,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,11686.65,0,0.0,0.0,0.0,0.0,71.25
1782553347.780953,CLIENT_101_005,semantic_only,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,11930.74,0,0.0,0.0,0.0,0.0,0.0
1782553352.8340142,CLIENT_101_005,rule_based_v1,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,158179.17,0,0.0,0.0,0.0,0.0,71.25
1782553359.1004415,CLIENT_101_005,historical_only,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,10857.4,0,0.0,0.0,0.0,0.0,50.0
1782553371.2783704,CLIENT_101_005,availability_only,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,11752.26,0,0.0,0.0,0.0,0.0,100.0
1782553382.9701355,CLIENT_101_005,competency_only,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,11410.58,0,0.0,0.0,0.0,0.0,80.0
1782553395.4621432,CLIENT_101_005,hybrid_v1,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,12058.08,0,0.0,0.0,0.0,0.0,59.0
1782553431.7898133,CLIENT_101_005,semantic_only,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,184749.2,0,0.0,0.0,0.0,0.0,0.0
1782553475.6496592,CLIENT_101_005,hybrid_v1,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,14367.6,0,0.0,0.0,0.0,0.0,59.0
1782553505.5438626,CLIENT_101_005,semantic_only,rule_based_v1:0.4;semantic_only:0.2;historical_only:0.15;availability_only:0.15;competency_only:0.1,151854.32,0,0.0,0.0,0.0,0.0,0.0
